,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Willy AdamesW. Adames,59,2025,SFG,111,414,66,96,18,2,17,51,3,122,4,2,474,169,37,0,6,1,6,.232,.316,.408,.725,57,1,.316,105,2.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Wilmer FloresW. Flores,59,2025,SFG,97,342,36,85,9,0,12,30,6,68,1,0,380,130,21,0,2,0,14,.249,.318,.380,.699,43,-1.3,.310,100,0.1,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Bryan ReynoldsB. Reynolds,52,2025,PIT,104,410,41,98,23,2,10,32,3,119,3,2,448,155,35,0,3,1,11,.239,.297,.378,.675,46,-6.7,.295,85,-7.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Heliot RamosH. Ramos,51,2025,SFG,110,425,59,114,20,1,14,39,13,112,6,4,483,178,35,0,6,2,10,.268,.344,.419,.763,64,7.7,.333,116,9.3,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Oneil CruzO. Cruz,48,2025,PIT,99,361,56,78,16,2,18,51,3,134,34,4,420,152,36,0,5,4,6,.216,.314,.421,.735,50,1.3,.317,101,0.3,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Jung Hoo LeeJ. Hoo Lee,44,2025,SFG,106,399,54,103,25,8,6,38,5,46,8,2,446,162,39,0,4,0,2,.258,.327,.406,.733,55,2.5,.321,108,4,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Matt ChapmanM. Chapman,42,2025,SFG,88,317,52,73,14,2,16,50,5,92,7,2,372,139,32,0,0,0,6,.230,.344,.438,.783,53,9.2,.344,124,10.5,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Andrew McCutchenA. McCutchen,39,2025,PIT,97,354,37,87,15,0,11,40,2,88,1,1,399,135,26,0,3,1,6,.246,.323,.381,.705,46,-0.8,.311,96,-1.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Ke'Bryan HayesK. Hayes,36,2025,PIT,100,369,34,87,10,2,2,18,4,81,10,2,392,107,14,1,0,1,8,.236,.279,.290,.569,27,-18.9,.254,57,-19.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Patrick BaileyP. Bailey,31,2025,SFG,89,268,28,56,14,2,2,21,2,89,0,0,300,80,18,4,5,0,4,.209,.267,.299,.565,20,-15,.252,60,-14,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Isiah Kiner-FalefaI. Kiner-Falefa,29,2025,PIT,96,322,32,88,14,2,1,15,4,57,13,3,345,109,17,3,1,0,6,.273,.313,.339,.651,34,-6.8,.289,81,-7.6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Tommy PhamT. Pham,29,2025,PIT,78,250,28,68,12,1,4,27,1,63,3,1,281,94,17,0,3,2,8,.272,.342,.376,.718,33,0.4,.315,99,-0.3,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Mike YastrzemskiM. Yastrzemski,28,2025,SFG,96,321,38,74,14,1,8,47,1,86,6,2,372,114,23,2,1,4,4,.231,.330,.355,.685,41,-3,.304,96,-1.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Spencer HorwitzS. Horwitz,25,2025,PIT,60,211,25,53,13,0,3,23,1,51,0,0,236,75,16,0,1,1,5,.251,.326,.355,.682,26,-2.1,.303,91,-2.6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Adam FrazierA. Frazier,21,2025,PIT,78,235,22,60,10,0,3,17,6,45,7,5,262,79,13,1,3,2,8,.255,.318,.336,.654,26,-5.1,.290,81,-5.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
