teamName,playerName,position,updated,injury,injuryStatus
Dallas,Olivier-Maxence Prosper,SF,"Tue, Jun 24",Wrist,Probable for start of season
Denver,Hunter Tyson,SF,"Sat, Jul 19",Undisclosed,Probable for start of season
Detroit,Ron Holland,SF,"Mon, Jul 21",Rest,Probable for start of season
Detroit,Jaden Ivey,SG,"Tue, Jun 24",Lower Leg,Probable for start of season
Detroit,Isaiah Stewart,PF,"Tue, Jun 24",Knee,Probable for start of season
Golden St.,Brandin Podziemski,SG,"Tue, Jun 24",Abdomen,Probable for start of season
Golden St.,Moses Moody,SF,"Tue, Jun 24",Thumb,Probable for start of season
Golden St.,Stephen Curry,PG,"Tue, Jun 24",Hamstring,Probable for start of season
Houston,Reed Sheppard,SG,"Mon, Jul 21",Rest,Probable for start of season
Houston,Dorian Finney-Smith,PF,"Mon, Jun 30",Ankle,Probable for start of season
Houston,Kevin Durant,PF,"Tue, Jun 24",Ankle,Probable for start of season
Indiana,Quenton Jackson,SG,"Sat, Jul 19",Leg,Probable for start of season
Indiana,Johnny Furphy,SG,"Sat, Jul 19",Rest,Probable for start of season
Indiana,Tyrese Haliburton,PG,"Wed, Jul 9",Achilles,"Expected to be out until at least Oct 1, 2026"
Indiana,James Wiseman,C,"Mon, Jul 7",Achilles,Probable for start of season
Indiana,Jarace Walker,PF,"Mon, Jun 23",Ankle,Probable for start of season
Indiana,Isaiah Jackson,C,"Mon, Jun 23",Achilles,Probable for start of season
L.A. Clippers,Yanic Konan Niederhauser,C,"Thu, Jul 24",Back,Probable for start of season
L.A. Clippers,Kobe Brown,SF,"Sun, Jul 20",Ankle,Probable for start of season
L.A. Lakers,Adou Thiero,SF,"Thu, Jul 24",Knee,Probable for start of season
L.A. Lakers,Eric Dixon,PF,"Thu, Jul 24",Foot,Probable for start of season
