Player,Team,PPG,APG,RPG,3PM,Games
Brandon McCreesh,BUCK,5.5,1.5,3.0,1.0,2
Grgur Brcic,BUCK,5.5,0.0,4.5,0.0,2
Jayden Williams,BUCK,12.5,5.5,5.0,2.5,2
Josh Fulton,BUCK,0.0,0.0,2.0,0.0,1
Pat Curtin,BUCK,8.5,0.5,1.0,0.5,2
Quin Berger,BUCK,1.5,0.5,2.0,0.5,2
Ruot Bijiek,BUCK,14.5,0.5,6.5,2.5,2
Angelo Brizzi,BUF,12.0,1.5,1.5,0.5,2
Daniel Freitag,BUF,13.5,1.5,2.5,1.5,2
Derrick Talton Jr.,BUF,12.5,4.0,3.0,0.0,2
Ezra McKenna,BUF,3.0,1.5,2.0,0.5,2
Kyle Jones,BUF,4.0,0.0,4.5,0.0,2
Mikhail Pocknett,BUF,1.5,0.0,2.0,0.0,2
Noah Batchelor,BUF,10.0,1.5,9.0,2.5,2
Omar Migues-Hibeljic,BUF,0.0,0.0,0.0,0.0,1
Ryan Sabol,BUF,20.5,2.5,1.5,4.0,2
Tim Oboh,BUF,7.0,0.5,2.5,0.0,2
Azavier Robinson,BUT,7.0,1.0,3.5,0.0,2
Drayton Jones,BUT,5.5,0.5,6.0,0.0,2
Ethan McComb,BUT,1.0,0.0,0.0,0.0,2
Evan Haywood,BUT,5.0,1.5,3.5,1.5,2
Finley Bizjack,BUT,10.0,1.5,1.0,0.5,2
Jack McCaffery,BUT,7.0,0.0,4.5,0.5,2
Jackson Keith,BUT,3.5,1.0,2.5,0.5,2
Jalen Jackson,BUT,14.0,4.5,5.5,1.0,2
Jamie Kaiser Jr.,BUT,10.5,0.5,7.0,1.5,2
Michael Ajayi,BUT,17.5,4.0,13.0,0.5,2
Yame Butler,BUT,6.0,3.0,2.5,0.5,2
Yohan Traore,BUT,13.0,0.5,4.5,0.0,2
AJ Dybantsa,BYU,19.0,3.0,7.0,0.5,2
Aleksej Kostić,BYU,5.0,0.0,1.0,1.0,1
Dawson Baker,BYU,8.5,1.0,0.5,1.5,2
Dominique Diomande,BYU,9.0,2.0,1.0,0.0,1
Keba Keita,BYU,6.0,0.5,7.0,0.0,2
Kennard Davis Jr.,BYU,9.0,1.5,1.0,2.0,2
Khadim Mboup,BYU,1.0,1.0,4.5,0.0,2
Mihailo Bošković,BYU,2.0,1.5,3.5,0.0,2
Richie Saunders,BYU,17.5,2.0,5.5,1.5,2
Robert Wright III,BYU,14.5,2.0,3.5,0.0,2
Tyler Mrus,BYU,0.0,1.0,0.5,0.0,2
Xavion Staton,BYU,0.0,0.5,0.0,0.0,2
BJ Fisher,CAL,0.0,0.0,0.0,0.0,2
Chris Bell,CAL,10.666667,1.3333334,4.6666665,0.6666667,3
Dai Dai Ames,CAL,21.666666,3.0,3.0,3.0,3
Dhiaukuei Manyiel Dut,CAL,0.0,0.0,1.0,0.0,2
John Camden,CAL,16.666666,1.0,4.6666665,2.6666667,3
Justin Pippen,CAL,14.333333,5.6666665,7.0,0.6666667,3
Lee Dort,CAL,10.0,2.3333333,8.0,0.0,3
Luke Butler,CAL,0.0,0.0,1.0,0.0,2
Mantas Kocanas,CAL,3.0,0.0,1.5,0.0,2
Milos Ilic,CAL,3.3333333,0.33333334,2.6666667,0.0,3
Nolan Dorsey,CAL,2.6666667,0.6666667,1.0,0.0,3
Rytis Petraitis,CAL,4.3333335,1.6666666,3.6666667,0.0,3
Semetri Carr,CAL,0.0,0.0,2.0,0.0,1
Stephon Marbury II,CAL,0.0,0.0,0.0,0.0,1
Cam Gregory,CAM,4.6666665,3.3333333,3.3333333,0.6666667,3
Chris Fields Jr.,CAM,12.666667,1.6666666,9.0,0.0,3
DJ Smith,CAM,21.0,1.0,5.0,3.6666667,3
Daniel Marcellinus,CAM,0.0,0.0,1.0,0.0,2
Dominykas Butka,CAM,0.0,0.5,0.5,0.0,2
Dovydas Butka,CAM,14.333333,1.3333334,7.0,0.6666667,3
Enoch Kalambay,CAM,1.0,0.0,1.0,0.0,2
Jeremiah Johnson,CAM,8.666667,0.6666667,0.6666667,0.0,3
Muneer Newton,CAM,4.6666665,0.0,4.3333335,0.0,3
Tasos Cook,CAM,6.6666665,0.6666667,2.0,1.3333334,3
Andreo Ash,CAN,2.0,0.5,1.0,0.0,2
Anthony Benard,CAN,0.6666667,0.6666667,0.33333334,0.0,3
Brendan Oliver,CAN,7.6666665,0.6666667,2.0,0.6666667,3
Bryan Ndjonga,CAN,14.333333,1.6666666,6.6666665,1.3333334,3
Chris Kumu,CAN,10.0,0.33333334,2.0,0.33333334,3
Evan van der Plas,CAN,1.0,0.0,1.0,0.0,2
Javante Edwards,CAN,5.6666665,1.6666666,1.6666666,1.0,3
Kahlil Singleton,CAN,11.666667,0.33333334,4.3333335,3.3333333,3
