PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Lawson Lovering,MEM,4,12.8,3.3,1.3,2.5,0.5,0.0,0.0,0.0,0.8,2.5,0.3,2.0,2.0,4.0,0.3,0.0,0.8,1.3,3.0
Zack Austin,OKC,4,14.3,3.3,0.8,4.3,0.176,0.3,3.0,0.083,1.5,1.5,1.0,0.8,1.3,2.0,0.5,1.5,0.3,0.5,1.8
James Nnaji,NYK,5,12.9,3.2,1.0,1.0,1.0,0.0,0.0,0.0,1.2,2.2,0.545,1.6,2.0,3.6,0.2,0.6,0.2,0.6,3.8
Isaiah Crawford,SAC,6,13.7,3.2,1.2,3.3,0.35,0.7,1.8,0.364,0.2,0.3,0.5,0.5,1.5,2.0,0.7,1.0,0.5,0.5,1.2
Jake Stephens,ATL,4,13.7,3.0,1.0,2.3,0.444,0.8,1.8,0.429,0.3,0.5,0.5,0.5,3.5,4.0,0.5,0.5,0.8,0.3,1.5
Matt Cross,DAL,3,19.9,3.0,0.7,5.0,0.133,0.7,3.7,0.182,1.0,1.3,0.75,2.0,5.3,7.3,1.3,0.0,0.3,1.0,2.0
J.C. Butler,MIA,3,15.7,3.0,1.3,3.3,0.4,0.3,1.3,0.25,0.0,0.0,0.0,1.0,1.7,2.7,1.3,1.0,0.3,0.7,1.3
Andrew Carr,POR,5,12.2,3.0,1.2,3.2,0.375,0.2,1.4,0.143,0.4,0.8,0.5,0.4,2.2,2.6,0.8,0.2,0.6,0.4,2.2
Josh Oduro,CHA,4,8.9,3.0,1.0,1.8,0.571,0.3,0.5,0.5,0.8,1.5,0.5,1.3,1.3,2.5,0.5,0.3,0.3,0.5,2.0
Jaylin Williams,DAL,3,17.0,3.0,1.0,4.3,0.231,0.3,1.3,0.25,0.7,0.7,1.0,0.7,3.7,4.3,0.7,1.7,0.0,1.3,0.7
Izan Almansa,PHL,4,11.2,3.0,1.0,2.3,0.444,0.0,0.3,0.0,1.0,1.5,0.667,0.5,1.3,1.8,0.0,0.5,0.3,0.3,1.5
Tytan Anderson,NOP,1,8.7,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0
Samson Johnson,IND,2,8.1,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.5,0.0,0.0,1.0,0.0,1.5
Jax Robinson,CLE,4,16.2,3.0,1.0,5.0,0.2,0.5,4.3,0.118,0.5,0.5,1.0,1.3,0.5,1.8,0.5,0.3,0.0,0.5,1.3
Chase Hunter,NOP,5,11.7,2.8,0.8,4.0,0.2,0.6,2.0,0.3,0.6,0.8,0.75,0.4,1.0,1.4,0.6,0.4,0.0,1.0,1.4
Biwali Bayles,NYK,4,8.8,2.8,1.0,1.8,0.571,0.3,0.8,0.333,0.5,0.5,1.0,0.8,1.8,2.5,1.3,0.3,0.3,0.5,1.0
T.J. Bickerstaff,DET,3,13.9,2.7,1.0,4.3,0.231,0.0,0.7,0.0,0.7,1.7,0.4,1.7,3.0,4.7,1.0,1.3,0.3,0.7,1.7
Wade Taylor IV,MIL,3,12.0,2.7,1.0,5.3,0.188,0.7,3.7,0.182,0.0,0.0,0.0,0.0,2.3,2.3,3.3,1.3,0.0,0.7,3.0
William Hickey,CHI,3,8.6,2.7,0.7,2.3,0.286,0.0,0.7,0.0,1.3,1.7,0.8,1.0,0.3,1.3,0.7,0.0,0.0,0.3,2.0
Stefan Todorovic,PHL,3,7.2,2.7,0.7,3.7,0.182,0.7,1.7,0.4,0.7,1.3,0.5,0.7,1.0,1.7,0.3,0.0,0.3,0.7,0.0
